category,grp,code,descript
PROP USE  ,5,579,"Motor vehicle or boat sales, services, repair     "
PROP USE  ,5,580,"General retail, Other                             "
PROP USE  ,5,581,Department or discount store                      
PROP USE  ,5,592,Bank                                              
PROP USE  ,5,593,Office:  veterinary or research                   
PROP USE  ,5,596,Post office or mailing firms                      
PROP USE  ,5,599,Business office                                   
PROP USE  ,6,600,"Ind., utility, defense, agriculture, mining, other"
PROP USE  ,6,610,"Energy production plant, Other                    "
PROP USE  ,6,614,Steam or heat-generating plant                    
PROP USE  ,6,615,Electric-generating plant                         
PROP USE  ,6,629,Laboratory or science laboratory                  
PROP USE  ,6,631,"Defense, military installation                    "
PROP USE  ,6,632,Flight control tower                              
PROP USE  ,6,635,Computer center                                   
PROP USE  ,6,639,Communications center                             
PROP USE  ,6,640,"Utility or Distribution system, Other             "
PROP USE  ,6,642,Electrical distribution                           
PROP USE  ,6,644,"Gas distribution, gas pipeline                    "
PROP USE  ,6,645,"Flammable liquid distribution, F.L. pipeline      "
PROP USE  ,6,647,Water utility                                     
PROP USE  ,6,648,Sanitation utility                                
PROP USE  ,6,655,Crops or orchard                                  
PROP USE  ,6,659,Livestock production                              
PROP USE  ,6,669,"Forest, timberland, woodland                      "
PROP USE  ,6,679,"Mine, quarry                                      "
PROP USE  ,7,700,"Manufacturing, processing                         "
PROP USE  ,8,800,"Storage, Other                                    "
PROP USE  ,8,807,Outside material storage area                     
PROP USE  ,8,808,Outbuilding or shed                               
PROP USE  ,8,816,"Grain elevator, silo                              "
PROP USE  ,8,819,"Livestock, poultry storage                        "
PROP USE  ,8,839,Refrigerated storage                              
PROP USE  ,8,849,Outside storage tank                              
PROP USE  ,8,880,"Vehicle storage, Other                            "
PROP USE  ,8,881,"Parking garage, (detached residential garage)     "
PROP USE  ,8,882,"Parking garage, general vehicle                   "
PROP USE  ,8,888,Fire station                                      
PROP USE  ,8,891,Warehouse                                         
PROP USE  ,8,898,"Dock, marina, pier, wharf                         "
PROP USE  ,8,899,Residential or self-storage units                 
PROP USE  ,9,900,"Outside or special property, Other                "
PROP USE  ,9,919,"Dump, sanitary landfill                           "
PROP USE  ,9,921,"Bridge, trestle                                   "
PROP USE  ,9,922,Tunnel                                            
PROP USE  ,9,926,"Outbuilding, protective shelter                   "
PROP USE  ,9,931,Open land or field                                
PROP USE  ,9,935,Campsite with utilities                           
PROP USE  ,9,936,Vacant lot                                        
PROP USE  ,9,937,Beach                                             
PROP USE  ,9,938,Graded and cared-for plots of land                
PROP USE  ,9,940,"Water area, Other                                 "
PROP USE  ,9,941,"Open ocean, sea or tidal waters                   "
PROP USE  ,9,946,"Lake, river, stream                               "
PROP USE  ,9,951,Railroad right-of-way                             
PROP USE  ,9,952,Railroad yard                                     
PROP USE  ,9,960,"Street, Other                                     "
PROP USE  ,9,961,Highway or divided highway                        
PROP USE  ,9,962,"Residential street, road or residential driveway  "
PROP USE  ,9,963,Street or road in commercial area                 
PROP USE  ,9,965,Vehicle parking area                              
PROP USE  ,9,972,Aircraft runway                                   
PROP USE  ,9,973,Aircraft taxiway                                  
PROP USE  ,9,974,Aircraft loading area                             
PROP USE  ,9,981,Construction site                                 
PROP USE  ,9,982,Oil or gas field                                  
PROP USE  ,9,983,"Pipeline, power line or other utility right-of-way"
PROP USE  ,9,984,Industrial plant yard - area                      
PROP USE  ,O,NNN,None                                              
PROP USE  ,O,UUU,Undetermined                                      
